min_tf,max_tf,min_df,max_df,multi_category_words,adjusted Rand Index
0,1,100,1,0.5,False,0.06476572440324424
1,5,100,1,0.5,False,0.08549113322000973
2,10,100,1,0.5,False,0.1576574416281623
3,15,100,1,0.5,False,0.15969320481816096
4,20,100,1,0.5,False,0.1310850106213446
5,30,100,1,0.5,False,0.1383077180460419
6,40,100,1,0.5,False,0.09452529402774898
7,50,100,1,0.5,False,0.1300590362578286
8,1,100,2,0.5,False,0.07956821733040166
9,5,100,2,0.5,False,0.10699048388308316
10,10,100,2,0.5,False,0.12710221824824466
11,15,100,2,0.5,False,0.09268014954948692
12,20,100,2,0.5,False,0.15237619305108127
13,30,100,2,0.5,False,0.1385934417993022
14,40,100,2,0.5,False,0.1345903690713207
15,50,100,2,0.5,False,0.07442741029967037
16,1,100,5,0.5,False,0.1305430208807573
17,5,100,5,0.5,False,0.11671070065927071
18,10,100,5,0.5,False,0.11053717767348964
19,15,100,5,0.5,False,0.09402487167747321
20,20,100,5,0.5,False,0.16027259332132118
21,30,100,5,0.5,False,0.09077974749787401
22,40,100,5,0.5,False,0.14353068059842228
23,50,100,5,0.5,False,0.10590512393392763
24,1,100,10,0.5,False,0.1047220388449106
25,5,100,10,0.5,False,0.16216045360794049
26,10,100,10,0.5,False,0.09157711455598394
27,15,100,10,0.5,False,0.10164333930304591
28,20,100,10,0.5,False,0.15096955072231816
29,30,100,10,0.5,False,0.10242250416804406
30,40,100,10,0.5,False,0.11212190336253293
31,50,100,10,0.5,False,0.10739343282970173
32,1,100,20,0.5,False,0.11261590852032906
33,5,100,20,0.5,False,0.1315487052048143
34,10,100,20,0.5,False,0.15368971233892223
35,15,100,20,0.5,False,0.0921502621627579
36,20,100,20,0.5,False,0.08669318857581404
37,30,100,20,0.5,False,0.14822623524820316
38,40,100,20,0.5,False,0.08813545720566046
39,50,100,20,0.5,False,0.07171147773881914
40,1,100,50,0.5,False,0.029846638449281378
41,5,100,50,0.5,False,0.03889882406647047
42,10,100,50,0.5,False,0.03791449608647607
43,15,100,50,0.5,False,0.02588415902445036
44,20,100,50,0.5,False,0.03646544382332707
45,30,100,50,0.5,False,0.03462536260647709
46,40,100,50,0.5,False,0.025738685985478748
47,50,100,50,0.5,False,0.029486162576600233
48,1,100,1,0.5,True,0.05600646747768243
49,5,100,1,0.5,True,0.09060446398272151
50,10,100,1,0.5,True,0.08421700903673757
51,15,100,1,0.5,True,0.13983493346081757
52,20,100,1,0.5,True,0.12572799676595134
53,30,100,1,0.5,True,0.12437942722331315
54,40,100,1,0.5,True,0.13214647531007426
55,50,100,1,0.5,True,0.11587094114341066
56,1,100,2,0.5,True,0.09085325679358988
57,5,100,2,0.5,True,0.10014753161574252
58,10,100,2,0.5,True,0.07003858674906117
59,15,100,2,0.5,True,0.14406961926830777
60,20,100,2,0.5,True,0.14071976628132746
61,30,100,2,0.5,True,0.1140353099455788
62,40,100,2,0.5,True,0.10477478918751384
63,50,100,2,0.5,True,0.14668013934624774
64,1,100,5,0.5,True,0.11908307675850593
65,5,100,5,0.5,True,0.1009243474816949
66,10,100,5,0.5,True,0.10541866975046228
67,15,100,5,0.5,True,0.15288706336803856
68,20,100,5,0.5,True,0.09781368839088275
69,30,100,5,0.5,True,0.14586924639260673
70,40,100,5,0.5,True,0.07506696437833342
71,50,100,5,0.5,True,0.0825730542966646
72,1,100,10,0.5,True,0.14170321241412207
73,5,100,10,0.5,True,0.11579192142401933
74,10,100,10,0.5,True,0.11817485128961527
75,15,100,10,0.5,True,0.1235445569984108
76,20,100,10,0.5,True,0.11367591856269861
77,30,100,10,0.5,True,0.16919218431451769
78,40,100,10,0.5,True,0.1764984806802214
79,50,100,10,0.5,True,0.07030155765592552
80,1,100,20,0.5,True,0.0979848314883642
81,5,100,20,0.5,True,0.1364089855844676
82,10,100,20,0.5,True,0.13210346821206156
83,15,100,20,0.5,True,0.1598256251357601
84,20,100,20,0.5,True,0.12963057678717108
85,30,100,20,0.5,True,0.08551331585407568
86,40,100,20,0.5,True,0.10051387417359442
87,50,100,20,0.5,True,0.10504129384352444
88,1,100,50,0.5,True,0.03307929764046142
89,5,100,50,0.5,True,0.03708679189712853
90,10,100,50,0.5,True,0.030097130405653243
91,15,100,50,0.5,True,0.03768818095815765
92,20,100,50,0.5,True,0.0290232587297468
93,30,100,50,0.5,True,0.034497928180761604
94,40,100,50,0.5,True,0.03058263841956957
95,50,100,50,0.5,True,0.02403831325523344
96,1,200,1,0.5,False,0.14697945458348768
97,5,200,1,0.5,False,0.24080704371076414
98,10,200,1,0.5,False,0.2621093922864514
99,15,200,1,0.5,False,0.20291458042506913
100,20,200,1,0.5,False,0.20153529218151425
101,30,200,1,0.5,False,0.2271425590301371
102,40,200,1,0.5,False,0.31093686907480633
103,50,200,1,0.5,False,0.27039481734899534
104,1,200,2,0.5,False,0.200852375229042
105,5,200,2,0.5,False,0.15827372974392828
106,10,200,2,0.5,False,0.2092800495624526
107,15,200,2,0.5,False,0.23241089226862452
108,20,200,2,0.5,False,0.13724851057230675
109,30,200,2,0.5,False,0.29913448440995155
110,40,200,2,0.5,False,0.2561570371199137
111,50,200,2,0.5,False,0.29956639132320484
112,1,200,5,0.5,False,0.25179077039800124
113,5,200,5,0.5,False,0.18284593551333037
114,10,200,5,0.5,False,0.2593693581943376
115,15,200,5,0.5,False,0.28531178800901946
116,20,200,5,0.5,False,0.23515682980422334
117,30,200,5,0.5,False,0.18560499443049747
118,40,200,5,0.5,False,0.30035246150166167
119,50,200,5,0.5,False,0.2788817779547853
120,1,200,10,0.5,False,0.25844138595928534
121,5,200,10,0.5,False,0.2382342272804459
122,10,200,10,0.5,False,0.28708532373463747
123,15,200,10,0.5,False,0.32261481211674736
124,20,200,10,0.5,False,0.25589158437400056
125,30,200,10,0.5,False,0.19694448502190767
126,40,200,10,0.5,False,0.23133239745609238
127,50,200,10,0.5,False,0.19609092927471478
128,1,200,20,0.5,False,0.30511667253752667
129,5,200,20,0.5,False,0.18280581629753115
130,10,200,20,0.5,False,0.25227841254481237
131,15,200,20,0.5,False,0.25568124178459134
132,20,200,20,0.5,False,0.2539018184217784
133,30,200,20,0.5,False,0.22110757915186222
134,40,200,20,0.5,False,0.27821001463506334
135,50,200,20,0.5,False,0.20325178678885103
136,1,200,50,0.5,False,0.22269187558379422
137,5,200,50,0.5,False,0.2316525727555556
138,10,200,50,0.5,False,0.17194954757558795
139,15,200,50,0.5,False,0.22779341787153645
140,20,200,50,0.5,False,0.10366690554667626
141,30,200,50,0.5,False,0.14476667537908755
142,40,200,50,0.5,False,0.15165381211180542
143,50,200,50,0.5,False,0.16054111886648328
144,1,200,1,0.5,True,0.1775835396692619
145,5,200,1,0.5,True,0.20157910585038807
146,10,200,1,0.5,True,0.17914570063855098
147,15,200,1,0.5,True,0.22703742822698136
148,20,200,1,0.5,True,0.2900306126580549
149,30,200,1,0.5,True,0.2592863774995532
150,40,200,1,0.5,True,0.24577407141254695
151,50,200,1,0.5,True,0.2278591749070523
152,1,200,2,0.5,True,0.16893206663941662
153,5,200,2,0.5,True,0.1964173875665419
154,10,200,2,0.5,True,0.2708270644142954
155,15,200,2,0.5,True,0.2141630269482073
156,20,200,2,0.5,True,0.3095143916783566
157,30,200,2,0.5,True,0.2334526521318945
158,40,200,2,0.5,True,0.2846529533099096
159,50,200,2,0.5,True,0.16167246153874432
160,1,200,5,0.5,True,0.22758597114369114
161,5,200,5,0.5,True,0.2066065869753772
162,10,200,5,0.5,True,0.19138970150100024
163,15,200,5,0.5,True,0.19242569157700792
164,20,200,5,0.5,True,0.3058489204061334
165,30,200,5,0.5,True,0.30577567405457273
166,40,200,5,0.5,True,0.17024860862086746
167,50,200,5,0.5,True,0.2373530004717474
168,1,200,10,0.5,True,0.2169876459422932
169,5,200,10,0.5,True,0.21626281676454237
170,10,200,10,0.5,True,0.2291326547042022
171,15,200,10,0.5,True,0.21134215051834515
172,20,200,10,0.5,True,0.24073910978896923
173,30,200,10,0.5,True,0.26948093938387246
174,40,200,10,0.5,True,0.2751776508593908
175,50,200,10,0.5,True,0.25748318268195963
176,1,200,20,0.5,True,0.28010309012660745
177,5,200,20,0.5,True,0.2005358831437674
178,10,200,20,0.5,True,0.22288549655033013
179,15,200,20,0.5,True,0.30831031571515544
180,20,200,20,0.5,True,0.27469285192099446
181,30,200,20,0.5,True,0.2928499710623652
182,40,200,20,0.5,True,0.19673401977363067
183,50,200,20,0.5,True,0.1973080767916507
184,1,200,50,0.5,True,0.1688609690670682
185,5,200,50,0.5,True,0.19627565832201957
186,10,200,50,0.5,True,0.16080175159142335
187,15,200,50,0.5,True,0.19107363748563708
188,20,200,50,0.5,True,0.15333203582767152
189,30,200,50,0.5,True,0.08367430076995262
190,40,200,50,0.5,True,0.22271497883562433
191,50,200,50,0.5,True,0.21385630112125043
192,1,400,1,0.5,False,0.1998746827197296
193,5,400,1,0.5,False,0.27051909781073097
194,10,400,1,0.5,False,0.23494377359651342
195,15,400,1,0.5,False,0.26814403256386926
196,20,400,1,0.5,False,0.2957080232240843
197,30,400,1,0.5,False,0.28937478382777154
198,40,400,1,0.5,False,0.26787508531395016
199,50,400,1,0.5,False,0.28019084844223724
200,1,400,2,0.5,False,0.27770718772970515
201,5,400,2,0.5,False,0.2716621536301795
202,10,400,2,0.5,False,0.2432012626092318
203,15,400,2,0.5,False,0.30109705972777884
204,20,400,2,0.5,False,0.2716353526995367
205,30,400,2,0.5,False,0.30880622647295336
206,40,400,2,0.5,False,0.3670283785374654
207,50,400,2,0.5,False,0.2743759368444629
208,1,400,5,0.5,False,0.2780182725729317
209,5,400,5,0.5,False,0.316462663402182
210,10,400,5,0.5,False,0.3945125796294641
211,15,400,5,0.5,False,0.29763073151676167
212,20,400,5,0.5,False,0.20818571419504905
213,30,400,5,0.5,False,0.39905239554773303
214,40,400,5,0.5,False,0.3981592967818347
215,50,400,5,0.5,False,0.29041392152468426
216,1,400,10,0.5,False,0.2834740062782379
217,5,400,10,0.5,False,0.30259727692723654
218,10,400,10,0.5,False,0.33029067888622693
219,15,400,10,0.5,False,0.2727914489659686
220,20,400,10,0.5,False,0.20495343383057904
221,30,400,10,0.5,False,0.3173718836660608
222,40,400,10,0.5,False,0.2810368136812008
223,50,400,10,0.5,False,0.2158485864458599
224,1,400,20,0.5,False,0.2612629796536441
225,5,400,20,0.5,False,0.2896628124408408
226,10,400,20,0.5,False,0.26670268019243415
227,15,400,20,0.5,False,0.2968200305703249
228,20,400,20,0.5,False,0.29320564759883133
229,30,400,20,0.5,False,0.3243510614799087
230,40,400,20,0.5,False,0.31067970761902697
231,50,400,20,0.5,False,0.2869146783864355
232,1,400,50,0.5,False,0.32418198922145314
233,5,400,50,0.5,False,0.28423545769744585
234,10,400,50,0.5,False,0.2231561878750635
235,15,400,50,0.5,False,0.3054758983169975
236,20,400,50,0.5,False,0.25651525916832113
237,30,400,50,0.5,False,0.2519239580174465
238,40,400,50,0.5,False,0.32338899926117165
239,50,400,50,0.5,False,0.24866563619037474
240,1,400,1,0.5,True,0.17510577128266452
241,5,400,1,0.5,True,0.30031612323005874
242,10,400,1,0.5,True,0.26261436376811353
243,15,400,1,0.5,True,0.3485055965870279
244,20,400,1,0.5,True,0.33096023670893676
245,30,400,1,0.5,True,0.3109997020106318
246,40,400,1,0.5,True,0.2663188168100581
247,50,400,1,0.5,True,0.2910632933850677
248,1,400,2,0.5,True,0.24052472810642142
249,5,400,2,0.5,True,0.25068571763913317
250,10,400,2,0.5,True,0.23403013407496448
251,15,400,2,0.5,True,0.34233386461561577
252,20,400,2,0.5,True,0.3074624747915517
253,30,400,2,0.5,True,0.3652900789621543
254,40,400,2,0.5,True,0.30315420103318985
255,50,400,2,0.5,True,0.2614785583599519
256,1,400,5,0.5,True,0.2925330503772658
257,5,400,5,0.5,True,0.3318115567833106
258,10,400,5,0.5,True,0.28253923225650807
259,15,400,5,0.5,True,0.2726184590851455
260,20,400,5,0.5,True,0.4178430085101388
261,30,400,5,0.5,True,0.42902192337188627
262,40,400,5,0.5,True,0.3282841374346405
263,50,400,5,0.5,True,0.2871548443858174
264,1,400,10,0.5,True,0.2738964164252657
265,5,400,10,0.5,True,0.29501166536212076
266,10,400,10,0.5,True,0.2870152726655147
267,15,400,10,0.5,True,0.3356868095989483
268,20,400,10,0.5,True,0.27673073009732485
269,30,400,10,0.5,True,0.30555426645650735
270,40,400,10,0.5,True,0.3143851038895321
271,50,400,10,0.5,True,0.3672169470967012
272,1,400,20,0.5,True,0.32698046407741954
273,5,400,20,0.5,True,0.28086541884408334
274,10,400,20,0.5,True,0.29828058018185843
275,15,400,20,0.5,True,0.29367946089409563
276,20,400,20,0.5,True,0.2895449354262283
277,30,400,20,0.5,True,0.3197438032992864
278,40,400,20,0.5,True,0.26844862488112065
279,50,400,20,0.5,True,0.2689191940176513
280,1,400,50,0.5,True,0.3457473472251174
281,5,400,50,0.5,True,0.2891403035390883
282,10,400,50,0.5,True,0.23065062336297262
283,15,400,50,0.5,True,0.2069980020383657
284,20,400,50,0.5,True,0.2735912626179219
285,30,400,50,0.5,True,0.31952258558153196
286,40,400,50,0.5,True,0.29034907485291267
287,50,400,50,0.5,True,0.3091808172958536
288,1,100,1,0.6,False,0.06837049940825028
289,5,100,1,0.6,False,0.0644003915135475
290,10,100,1,0.6,False,0.1078195494579952
291,15,100,1,0.6,False,0.17066217563786765
292,20,100,1,0.6,False,0.08972251887521888
293,30,100,1,0.6,False,0.10485618326291998
294,40,100,1,0.6,False,0.08485783189282349
295,50,100,1,0.6,False,0.10977728370161198
296,1,100,2,0.6,False,0.06540140023550912
