n_components,perplexity,n_iterations,ngram_range,silhouette_score,davies_bouldin_score
0,800,100,4000,0,-0.10996062,6.109456125519483
1,800,50,4000,0,-0.027366016,6.625923047989591
2,800,30,4000,0,-0.0062776473,4.212037240984504
3,800,10,4000,0,-0.026586583,5.367890221501359
4,800,100,4000,1,-0.25273114,8.243924039249519
5,800,50,4000,1,-0.06305503,6.547675698458469
6,800,30,4000,1,0.013329917,4.565709564549622
7,800,10,4000,1,-0.06108394,3.7202410640184094
8,400,100,4000,0,-0.12696554,4.456265816545423
9,400,50,4000,0,-0.012344433,6.147767419236947
10,400,30,4000,0,0.047232978,2.7557002575303087
11,400,10,4000,0,-0.061161906,5.653852493453761
12,400,100,4000,1,-0.17632307,5.2312078407805505
13,400,50,4000,1,-0.04341048,5.788801762882375
14,400,30,4000,1,0.031958144,5.697102507607854
15,400,10,4000,1,-0.0719955,4.51854764401932
16,200,100,4000,0,-0.02787803,5.0414642046971805
17,200,50,4000,0,0.020608358,5.9977325202289595
18,200,30,4000,0,0.05906178,4.332149686060597
19,200,10,4000,0,0.026400542,7.365583778698661
20,200,100,4000,1,-0.15216583,7.083154488948999
21,200,50,4000,1,-0.0029148292,5.490872537995279
22,200,30,4000,1,0.080215834,5.912908283783271
23,200,10,4000,1,0.01668208,3.8636724922072747
24,100,100,4000,0,-0.019227162,4.535752978208655
25,100,50,4000,0,0.10077823,3.833633960902813
26,100,30,4000,0,0.11194054,3.0600205858000185
27,100,10,4000,0,-0.06589298,4.448056726792824
28,100,100,4000,1,0.01616427,7.277402921371904
29,100,50,4000,1,0.1040893,5.011831789019079
30,100,30,4000,1,0.09490101,6.332928900265883
31,100,10,4000,1,-0.05642533,4.389876047804671
